Parent,Keyword,Class,DataProperty,ObjectProperty,Range,Notes,
distribution,,dcat:Dataset,,dcat:distribution,dcat:Distribution,,
dentification,maintenancefrequency,dcat:Dataset,,dcterms:accrualPeriodicity,dcterms:Frequency,,
extents,spatial,dcat:Dataset,,dcterms:spatial,dcterms:Location,,
,,dcat:Dataset,dcat:spatialResolutionInMeters,,xsd:decimal,,
extents,temporal,dcat:Dataset,,dcterms:temporal,dcterms:PeriodOfTime,,
,,dcat:Dataset,dcat:temporalResolution,,xsd:duration,,
,,dcat:Dataset,,prov:wasGeneratedBy,prov:Activity,,
identification,accessconstraints,dcat:Dataset,,dcterms:accessRights,dcterms:RightsStatement,,
,,dcat:Dataset,,dcterms:conformsTo,dcterms:Standard, ,
contact,,dcat:Dataset,,dcat:contactPoint,vcard:Kind,,
,,dcat:Dataset,,dcterms:creator,foaf:Agent,,
identification,abstract,dcat:Dataset,dcterms:description,,rdfs:Literal,,
identification,title,dcat:Dataset,dcterms:title,,rdfs:Literal,,
,,dcat:Dataset,,odrl:hasPolicy,odrl:Policy,,
identification,doi,dcat:Dataset,dcterms:identifier,,rdfs:Literal,,
identification,keywords,dcat:Dataset,dcat:keyword,,rdfs:Literal,,
identification,url,dcat:Dataset,,dcat:landingPage,foaf:page,,
,,dcat:Dataset,,dcterms:license,dcterms:LicenseDocument,,
identification,language,dcat:Dataset,,dcterms:language,dcterms:LinguisticSystem,,
properties,rights,dcat:Dataset,,dcterms:rights,dcterms:RightsStatement,,
,,dcat:Dataset,,dcterms:publisher,vcard:Organization,,
dates,publication,dcat:Dataset,dcterms:issued,,xsd:gYear or xsd:gYearMonth or xsd:date or xsd:dateTime, Data of formal release/issuance.,
,,dcat:Dataset,,dcat:theme,skos:ConceptScheme or skos:Collection or owl:Ontology or similar,,
identification,title,dcat:Dataset,dcterms:title,,rdfs:Literal,,
spatial,datatype,dcat:Dataset,,dcterms:type,rdfs:Class,Values should come from a controlled vocabulary (check DCat 3 document for references, Most recent date of modification.
identification,revision,dcat:Dataset,dcterms:modified,,xsd:gYear or xsd:gYearMonth or xsd:date or xsd:dateTime, Data of formal release/issuance.,
,,dcat:Dataset,,prov:qualifiedAttribution,prov:Attribution,To be used when Agent is neither dcterms:creator or dcterms:publisher,
,,dcat:Dataset,dcat:hasCurrentVersion,,xsd:Literal,,
,,dcat:Dataset,dcat:hasVersion,,xsd:Literal,,
,,dcat:Dataset,dcat:previousVersion,,xsd:Literal,,
,,dcat:Dataset,dcterms:replaces,,rdfs:Resource,,
identification,status,dcat:Dataset,,adms:status,skos:Concept,,
identification,edition,dcat:Dataset,dcat:version,,rdfs:Literal,,
,,dcat:Dataset,adms:versionNotes,,rdfs:Literal,,
contact,individualname,vcard:Individual,,vcard:fn,xsd:string,,
contact,positionname,vcard:Individual,,vcard:title,xsd:string,,
contact,organization,vcard:Organization,,organization-name,xsd:string,,
contact,phone,vcard:Organization,vcard:hasTelephone,,vcard:TelephoneType,,
contact,fax,vcard:Organization,vcard:hasTelephone,,vcard:Fax,,
contact,address,vcard:Organization,,vcard:hasAddress,vcard:Address,,
contact,city,vcard:Address,vcard:locality,,xsd:string,,
contact,administrativearea,vcard:Address,vcard:region,,xsd:string,,
contact,postalcode,vcard:Address,vcard:postal-code,,xsd:string,,
contact,country,vcard:Address,vcard:country-name,,xsd:string,,
contact,email,vcard:Organization,,vcard:hasEmail,vcard:Email,,
contact,hoursofservice,,,,,,
contact,contactinstructions,,,,,,
